wrong_image,true_label,predicted_label,similar_image,similarity
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/559.jpg,Agriculture,Highway,/content/gdrive/MyDrive/9517 project/data/test/Highway/031.jpg,0.6744144
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/640.jpg,Agriculture,River,/content/gdrive/MyDrive/9517 project/data/test/River/318.jpg,0.79269135
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/765.jpg,Agriculture,River,/content/gdrive/MyDrive/9517 project/data/test/River/496.jpg,0.6013926
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/796.jpg,Agriculture,River,/content/gdrive/MyDrive/9517 project/data/test/River/098.jpg,0.80795264
/content/gdrive/MyDrive/9517 project/data/test/Airport/020.jpg,Airport,Beach,/content/gdrive/MyDrive/9517 project/data/test/Beach/757.jpg,0.8478006
/content/gdrive/MyDrive/9517 project/data/test/Airport/122.jpg,Airport,Agriculture,/content/gdrive/MyDrive/9517 project/data/test/Agriculture/353.jpg,0.6211294
/content/gdrive/MyDrive/9517 project/data/test/Airport/135.jpg,Airport,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/432.jpg,0.73283726
/content/gdrive/MyDrive/9517 project/data/test/Airport/559.jpg,Airport,Desert,/content/gdrive/MyDrive/9517 project/data/test/Desert/467.jpg,0.7188971
/content/gdrive/MyDrive/9517 project/data/test/City/506.jpg,City,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/189.jpg,0.7174958
/content/gdrive/MyDrive/9517 project/data/test/City/601.jpg,City,Port,/content/gdrive/MyDrive/9517 project/data/test/Port/754.jpg,0.6666325
/content/gdrive/MyDrive/9517 project/data/test/Desert/006.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/161.jpg,0.81035364
/content/gdrive/MyDrive/9517 project/data/test/Desert/016.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/438.jpg,0.8234333
/content/gdrive/MyDrive/9517 project/data/test/Desert/425.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/610.jpg,0.6829578
/content/gdrive/MyDrive/9517 project/data/test/Desert/461.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/161.jpg,0.7772492
/content/gdrive/MyDrive/9517 project/data/test/Desert/517.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/161.jpg,0.84694815
/content/gdrive/MyDrive/9517 project/data/test/Desert/686.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/410.jpg,0.68817174
/content/gdrive/MyDrive/9517 project/data/test/Desert/714.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/759.jpg,0.8051542
/content/gdrive/MyDrive/9517 project/data/test/Forest/355.jpg,Forest,Port,/content/gdrive/MyDrive/9517 project/data/test/Port/469.jpg,0.57484186
/content/gdrive/MyDrive/9517 project/data/test/Grassland/167.jpg,Grassland,Agriculture,/content/gdrive/MyDrive/9517 project/data/test/Agriculture/304.jpg,0.72381717
/content/gdrive/MyDrive/9517 project/data/test/Grassland/321.jpg,Grassland,River,/content/gdrive/MyDrive/9517 project/data/test/River/638.jpg,0.6658039
/content/gdrive/MyDrive/9517 project/data/test/Grassland/513.jpg,Grassland,Agriculture,/content/gdrive/MyDrive/9517 project/data/test/Agriculture/716.jpg,0.72846067
/content/gdrive/MyDrive/9517 project/data/test/Grassland/518.jpg,Grassland,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/703.jpg,0.5955914
/content/gdrive/MyDrive/9517 project/data/test/Grassland/574.jpg,Grassland,Highway,/content/gdrive/MyDrive/9517 project/data/test/Highway/207.jpg,0.8100688
/content/gdrive/MyDrive/9517 project/data/test/Grassland/594.jpg,Grassland,Forest,/content/gdrive/MyDrive/9517 project/data/test/Forest/660.jpg,0.8488958
