wrong_image,true_label,predicted_label,similar_image,similarity
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/048.jpg,Agriculture,Desert,/content/gdrive/MyDrive/9517 project/data/test/Desert/004.jpg,0.8396487
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/343.jpg,Agriculture,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/412.jpg,0.8158179
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/551.jpg,Agriculture,Desert,/content/gdrive/MyDrive/9517 project/data/test/Desert/613.jpg,0.82901645
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/559.jpg,Agriculture,Highway,/content/gdrive/MyDrive/9517 project/data/test/Highway/308.jpg,0.8533628
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/610.jpg,Agriculture,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/565.jpg,0.9068873
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/611.jpg,Agriculture,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/565.jpg,0.92921174
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/640.jpg,Agriculture,River,/content/gdrive/MyDrive/9517 project/data/test/River/278.jpg,0.87310183
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/718.jpg,Agriculture,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/702.jpg,0.9331881
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/765.jpg,Agriculture,River,/content/gdrive/MyDrive/9517 project/data/test/River/155.jpg,0.87343657
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/796.jpg,Agriculture,River,/content/gdrive/MyDrive/9517 project/data/test/River/571.jpg,0.8679059
/content/gdrive/MyDrive/9517 project/data/test/Airport/186.jpg,Airport,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/675.jpg,0.9435978
/content/gdrive/MyDrive/9517 project/data/test/Airport/325.jpg,Airport,Parking,/content/gdrive/MyDrive/9517 project/data/test/Parking/223.jpg,0.8294046
/content/gdrive/MyDrive/9517 project/data/test/Airport/456.jpg,Airport,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/038.jpg,0.90595984
/content/gdrive/MyDrive/9517 project/data/test/Airport/559.jpg,Airport,Desert,/content/gdrive/MyDrive/9517 project/data/test/Desert/467.jpg,0.8836639
