wrong_image,true_label,predicted_label,similar_image,similarity
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/559.jpg,Agriculture,Highway,/content/gdrive/MyDrive/9517 project/data/test/Highway/269.jpg,0.7158349
/content/gdrive/MyDrive/9517 project/data/test/Agriculture/725.jpg,Agriculture,Residential,/content/gdrive/MyDrive/9517 project/data/test/Residential/022.jpg,0.84380126
/content/gdrive/MyDrive/9517 project/data/test/Airport/020.jpg,Airport,Beach,/content/gdrive/MyDrive/9517 project/data/test/Beach/747.jpg,0.913901
/content/gdrive/MyDrive/9517 project/data/test/Airport/135.jpg,Airport,City,/content/gdrive/MyDrive/9517 project/data/test/City/420.jpg,0.86390424
/content/gdrive/MyDrive/9517 project/data/test/Airport/456.jpg,Airport,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/345.jpg,0.880784
/content/gdrive/MyDrive/9517 project/data/test/Airport/750.jpg,Airport,City,/content/gdrive/MyDrive/9517 project/data/test/City/069.jpg,0.83489764
/content/gdrive/MyDrive/9517 project/data/test/Beach/573.jpg,Beach,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/621.jpg,0.8770172
/content/gdrive/MyDrive/9517 project/data/test/City/454.jpg,City,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/250.jpg,0.8985059
/content/gdrive/MyDrive/9517 project/data/test/City/601.jpg,City,Port,/content/gdrive/MyDrive/9517 project/data/test/Port/782.jpg,0.8341275
/content/gdrive/MyDrive/9517 project/data/test/City/726.jpg,City,Railway,/content/gdrive/MyDrive/9517 project/data/test/Railway/583.jpg,0.9068956
/content/gdrive/MyDrive/9517 project/data/test/Desert/006.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/759.jpg,0.8841414
/content/gdrive/MyDrive/9517 project/data/test/Desert/016.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/759.jpg,0.8796325
/content/gdrive/MyDrive/9517 project/data/test/Desert/436.jpg,Desert,Beach,/content/gdrive/MyDrive/9517 project/data/test/Beach/427.jpg,0.76725245
/content/gdrive/MyDrive/9517 project/data/test/Desert/548.jpg,Desert,Lake,/content/gdrive/MyDrive/9517 project/data/test/Lake/303.jpg,0.667027
/content/gdrive/MyDrive/9517 project/data/test/Desert/591.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/641.jpg,0.8303229
/content/gdrive/MyDrive/9517 project/data/test/Desert/714.jpg,Desert,Mountain,/content/gdrive/MyDrive/9517 project/data/test/Mountain/759.jpg,0.86725676
/content/gdrive/MyDrive/9517 project/data/test/Forest/290.jpg,Forest,Grassland,/content/gdrive/MyDrive/9517 project/data/test/Grassland/562.jpg,0.91451997
/content/gdrive/MyDrive/9517 project/data/test/Forest/355.jpg,Forest,Port,/content/gdrive/MyDrive/9517 project/data/test/Port/770.jpg,0.87901884
/content/gdrive/MyDrive/9517 project/data/test/Grassland/148.jpg,Grassland,Airport,/content/gdrive/MyDrive/9517 project/data/test/Airport/565.jpg,0.7715725
/content/gdrive/MyDrive/9517 project/data/test/Grassland/167.jpg,Grassland,Agriculture,/content/gdrive/MyDrive/9517 project/data/test/Agriculture/353.jpg,0.8441883
